"Qty","Value","Parts","ALT_DKPN","ALT_MANUFACTURER","ALT_MOPN","ALT_MPN","ATTRITION","CAPACITANCE","COLOR","CURRENT","CURRENT_RATED","CURRENT_SATURATION","DCR","DKPN","FREQUENCY","GAUGE","INDUCTANCE","LOAD_CAPACITANCE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","SHUNT_CAPACITANCE","TOLERANCE","VIN","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX","VOLUME","VOUT",
"1","LED_0603_GREEN","D6","","","","","33","","Green","","","","","754-1790-1-ND","","","","","Kingbright","604-APT1608ZGCK","APT1608ZGCK","","","","","","","","","","",
"1","LED_0603_ORANGE","D5","","","","","33","","Orange","","","","","754-1120-1-ND","","","","","Kingbright","604-APT1608SECK","APT1608SECK","","","","","","","","","","",
"2","LED_2835_AMBER","D102, D106","","","","","33","","Amber","","","","","","","","","","Lumileds","997-L128PCA10350","L128-PCA1003500000","","","","","","","","","","",
"1","LED_2835_BLUE","D105","","","","","33","","Blue","","","","","","","","","","Lumileds","997-L128BLU10350","L128-BLU1003500000","","","","","","","","","","",
"2","LED_2835_GREEN","D103, D104","","","","","33","","Green","","","","","","","","","","Lumileds","997-L128GRN10350","L128-GRN1003500000","","","","","","","","","","",
"2","LED_2835_RED","D100, D107","","","","","33","","Red","","","","","","","","","","Lumileds","997-L128RED10350","L128-RED1003500000","","","","","","","","","","",
"1","LED_7_SEGMENT_BLUE_DSM7TA","D101","","","","","33","","Blue","","","","","DSM7TA56106TTR-ND","","","","","Visual Communications Company","593-DSM7TA56106T ","DSM7TA56106T","","","","","","","","","","",
"1","MCP23S08","U3","","","","","10","","","","","","","MCP23S08-E/SS-ND","","","","","Microchip Technology","579-MCP23S08-E/SS","MCP23S08-E/SS","","","","","","","","","","",
"1","MCP2515","U5","","","","","10","","","","","","","MCP2515-E/ST-ND","","","","","Microchip Technology","579-MCP2515-E/ST","MCP2515-E/ST","","","","","","","","","","",
"1","MCP2562FD","U4","MCP2562-E/SN-ND","Microchip Technology","579-MCP2562-E/SN","MCP2562-E/SN","10","","","","","","","MCP2562FD-E/SN-ND","","","","","Microchip Technology","579-MCP2562FD-E/SN","MCP2562FD-E/SN","","","","","","","","","","",
"1","OKL-T/1-W12N-COKL","A1","","","","","10","","","","","","","811-2260-2-ND","","","","","Murata Power Solutions Inc.","580-OKL-T/1-W12N-C ","OKL-T/1-W12N-C","","","","","12V","","","","","5V",
"1","PLUG-4_NANOFIT_HORIZONTAL","O1","","","","","100","","","","","","","WM14962-ND","","","","","Molex","538-105308-1204","1053081204","","","","","","","","","","",
"1","PLUG-6_NANOFIT_HORIZONTAL","O2","","","","","100","","","","","","","WM14963-ND","","","","","Molex","538-105308-1206","1053081206","","","","","","","","","","",
"1","PLUG-8_NANOFIT_HORIZONTAL","O3","","","","","100","","","","","","","WM14964-ND","","","","","Molex","538-105308-1208","105308-1208","","","","","","","","","","",
"1","RE46C100","U2","","","","","10","","","","","","","RE46C100S8TFTR-ND","","","","","Microchip Technology","579-RE46C100S8TF "," RE46C100S8TF","","","","","","","","","","",
"1","RESISTOR_0603_1.5M","R10","","","","","33","","","","","","","311-1.50MHRCT-ND","","","","","Yageo","603-RC0603FR-071M5L","RC0603FR-071M5L","0.1W","1.5M","","1%","","","75V","75V","","",
"1","RESISTOR_0603_100","R9","","","","","33","","","","","","","311-100HRCT-ND","","","","","Yageo","603-RC0603FR-07100RL","RC0603FR-07100RL","0.1W","100","","1%","","","3.16V","75V","","",
"3","RESISTOR_0603_10K","R11, R13, R21","","","","","33","","","","","","","311-10.0KHRCT-ND","","","","","Yageo","603-RC0603FR-0710KL","RC0603FR-0710KL","0.1W","10k","","1%","","","31.62V","75V","","",
"5","RESISTOR_0603_15","R1, R8, R12, R14, R17","","","","","33","","","","","","","541-15.0STR-ND","","","","","Vishay Dale","71-CRCW060315R0FKEAH","CRCW060315R0FKEAHP","0.33W","15","","1%","","","2.22V","75V","","",
"1","RESISTOR_0603_150K","R15","","","","","33","","","","","","","P150KDBCT-ND","","","","","Panasonic Electronic Components","667-ERA-3AEB154V","ERA-3AEB154V","0.1W","150k","","1%","","","75V","75V","","",
"1","RESISTOR_0603_2.18K","R19","","","","","33","","","","","","","13-RT0805BRD072K18LTR-ND","","","","","YAGEO","603-RT0805BRD072K18L","RT0805BRD072K18L","0.125W","2.18k","","0.1%","","","16.51V","150V","","",
"3","RESISTOR_0603_30K","R2, R3, R4","","","","","33","","","","","","","P30KBDCT-ND","","","","","Panasonic Electronic Components","667-ERA-3ARB303V","ERA-3ARB303V","0.1W","30k","","0.1%","","","54.77V","75V","","",
"3","RESISTOR_0603_43K","R5, R6, R7","","","","","33","","","","","","","311-43.0KHRCT-ND","","","","","Yageo","603-RC0603FR-0743KL","RC0603FR-0743KL","0.1W","43k","","1%","","","65.57V","75V","","",
"2","RESISTOR_0603_60.4","R18, R20","","","","","33","","","","","","","311-60.4HRCT-ND","","","","","Yageo","603-RC0603FR-0760R4L","RC0603FR-0760R4L","0.1W","60.4","","1%","","","2.48V","75V","","",
"2","RESISTOR_0805_22","R16, R22","","","","","33","","","","","","","P16066TR-ND","","","","","Panasonic Electronic Components","667-ERJ-P06F22R0V","ERJ-P06F22R0V","0.5W","22","","1%","","","3.32V","400V","","",
"2","RESISTOR_NETWORK_4_10","RN2, RN8","","","","","33","","","","","","","CAT16-100J4LFCT-ND","","","","","Bourns Inc.","652-CAT16-100J4LF","CAT16-100J4LF","1/16W","10","","5%","","50V","","","","",
"1","RESISTOR_NETWORK_4_100","RN3","","","","","33","","","","","","","CAT16-1000F4LFCT-ND","","","","","Bourns Inc.","652-CAT16-1000F4LF","CAT16-1000F4LF","1/16W","100","","1%","","50V","","","","",
"2","RESISTOR_NETWORK_4_10K","RN1, RN4","","","","","33","","","","","","","YAG3410CT-ND","","","","","Yageo","603-TC164-FR-0710KL","TC164-FR-0710KL","1/16W","10K","","1%","","50V","","","","",
"2","RESISTOR_NETWORK_4_160","RN5, RN7","","","","","33","","","","","","","YC164J-160CT-ND","","","","","Yageo","603-YC164-JR-07160RL","YC164-JR-07160RL","1/16W","160","","5%","","50V","","","","",
"1","RESISTOR_NETWORK_4_1K","RN6","","","","","33","","","","","","","13-YC164-FR-071KLCT-ND","","","","","Yageo","603-YC164-FR-071KL","YC164-FR-071KL","1/16W","1k","","1%","","50V","","","","",
"3","SCHOTTKY_SOD323_30V","D1, D2, D3","","","","","33","","","0.8A","","","","CUS08F30H3FTR-ND","","","","","Toshiba Semiconductor and Storage","757-CUS08F30H3F","CUS08F30","","","","","","30V","","","","",
"4","TEST_POINT","TP1, TP2, TP3, TP4","","","","","10","","","","","","","36-5015CT-ND","","","","","Keystone Electronics","534-5015","5015","","","","","","","","","","",
"6","TRANSISTOR_N_MOS__PMV15ENEA","Q1, Q2, Q3, Q4, Q5, Q6","","","","","10","","","","","","","1727-8588-1-ND","","","","","Nexperia USA Inc.","771-PMV15ENEAR","PMV15ENEAR","","","","","","","","","","",
"1","TVS_15V","D4","","","","","33","","","","","","","GSOT15-E3-08CT-ND","","","","","Vishay General Semiconductor - Diodes Division","78-GSOT15-E3-08","GSOT15-E3-08","","","","","","15V","","","","",
"2","TVS_ARRAY_5V","DN1, DN2","","","","","33","","","","","","","112-VESD05A5-06G-G3-08CT-ND","","","","","Vishay General Semiconductor - Diodes Division","78-VESD05A5-06G-G308","VESD05A5-06G-G3-08","","","","","","5V","","","","",
